Player,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,+/-,MATCHUP
Semi Ojeleye F,38.21666666666667,7.0,17.0,41.2,2.0,7.0,28.6,1.0,4.0,25.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,1.0,17.0,9.0,"APR 09, 2019 - BOS @ WAS"
Guerschon Yabusele F,25.283333333333335,5.0,10.0,50.0,3.0,5.0,60.0,0.0,2.0,0.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,13.0,-23.0,"APR 09, 2019 - BOS @ WAS"
Robert Williams III C,29.116666666666667,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,11.0,1.0,1.0,1.0,3.0,6.0,2.0,17.0,"APR 09, 2019 - BOS @ WAS"
Jaylen Brown G,18.05,6.0,13.0,46.2,1.0,4.0,25.0,2.0,4.0,50.0,1.0,2.0,3.0,2.0,3.0,3.0,0.0,1.0,15.0,-14.0,"APR 09, 2019 - BOS @ WAS"
Terry Rozier G,24.45,8.0,15.0,53.3,4.0,8.0,50.0,1.0,2.0,50.0,0.0,4.0,4.0,4.0,0.0,1.0,0.0,0.0,21.0,-16.0,"APR 09, 2019 - BOS @ WAS"
Brad Wanamaker,28.883333333333333,6.0,13.0,46.2,0.0,4.0,0.0,5.0,7.0,71.4,0.0,6.0,6.0,7.0,1.0,1.0,0.0,3.0,17.0,17.0,"APR 09, 2019 - BOS @ WAS"
Daniel Theis,12.983333333333333,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,"APR 09, 2019 - BOS @ WAS"
PJ Dozier,37.333333333333336,5.0,14.0,35.7,1.0,6.0,16.7,1.0,2.0,50.0,4.0,7.0,11.0,5.0,0.0,2.0,0.0,1.0,12.0,10.0,"APR 09, 2019 - BOS @ WAS"
RJ Hunter,25.683333333333334,6.0,13.0,46.2,4.0,10.0,40.0,1.0,2.0,50.0,1.0,2.0,3.0,3.0,0.0,1.0,0.0,3.0,17.0,28.0,"APR 09, 2019 - BOS @ WAS"
Jayson Tatum F,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"APR 07, 2019 - BOS vs. ORL"
Al Horford F,25.866666666666667,7.0,12.0,58.3,1.0,1.0,100.0,3.0,4.0,75.0,0.0,4.0,4.0,7.0,2.0,2.0,0.0,2.0,18.0,-14.0,"APR 07, 2019 - BOS vs. ORL"
Aron Baynes C,13.8,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,4.0,-6.0,"APR 07, 2019 - BOS vs. ORL"
Marcus Smart G,19.7,2.0,5.0,40.0,2.0,5.0,40.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0,2.0,6.0,-1.0,"APR 07, 2019 - BOS vs. ORL"
Kyrie Irving G,35.03333333333333,9.0,19.0,47.4,4.0,6.0,66.7,1.0,1.0,100.0,1.0,4.0,5.0,6.0,3.0,1.0,1.0,2.0,23.0,-6.0,"APR 07, 2019 - BOS vs. ORL"
Gordon Hayward,37.983333333333334,8.0,14.0,57.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,4.0,1.0,1.0,0.0,1.0,16.0,-5.0,"APR 07, 2019 - BOS vs. ORL"
Marcus Morris Sr.,30.266666666666666,2.0,9.0,22.2,2.0,6.0,33.3,7.0,7.0,100.0,1.0,7.0,8.0,1.0,1.0,0.0,1.0,3.0,13.0,-2.0,"APR 07, 2019 - BOS vs. ORL"
Jaylen Brown,25.883333333333333,5.0,8.0,62.5,2.0,3.0,66.7,1.0,2.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,13.0,1.0,"APR 07, 2019 - BOS vs. ORL"
Terry Rozier,21.033333333333335,3.0,6.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,5.0,5.0,2.0,4.0,0.0,0.0,2.0,7.0,-1.0,"APR 07, 2019 - BOS vs. ORL"
Daniel Theis,18.9,3.0,7.0,42.9,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,3.0,6.0,5.0,"APR 07, 2019 - BOS vs. ORL"
Brad Wanamaker,5.533333333333333,1.0,3.0,33.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-12.0,"APR 07, 2019 - BOS vs. ORL"
Jayson Tatum F,34.083333333333336,9.0,19.0,47.4,1.0,5.0,20.0,3.0,4.0,75.0,1.0,6.0,7.0,2.0,1.0,3.0,1.0,2.0,22.0,15.0,"APR 05, 2019 - BOS @ IND"
Al Horford F,26.766666666666666,5.0,8.0,62.5,1.0,2.0,50.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,2.0,1.0,1.0,0.0,11.0,20.0,"APR 05, 2019 - BOS @ IND"
Aron Baynes C,26.833333333333332,5.0,8.0,62.5,1.0,1.0,100.0,0.0,0.0,0.0,3.0,8.0,11.0,2.0,0.0,1.0,2.0,2.0,11.0,3.0,"APR 05, 2019 - BOS @ IND"
Marcus Smart G,27.883333333333333,1.0,7.0,14.3,1.0,6.0,16.7,3.0,3.0,100.0,0.0,3.0,3.0,5.0,3.0,0.0,1.0,3.0,6.0,-1.0,"APR 05, 2019 - BOS @ IND"
Kyrie Irving G,27.016666666666666,7.0,14.0,50.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,17.0,10.0,"APR 05, 2019 - BOS @ IND"
Marcus Morris Sr.,24.416666666666668,4.0,13.0,30.8,1.0,5.0,20.0,2.0,2.0,100.0,1.0,5.0,6.0,3.0,1.0,0.0,1.0,2.0,11.0,14.0,"APR 05, 2019 - BOS @ IND"
