MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
"APR 09, 2019 - BOS @ WAS",W,240,116,45,99,45.5,15,44,34.1,11,23,47.8,13,37,50,27,10,3,5,17
"APR 07, 2019 - BOS vs. ORL",L,240,108,42,89,47.2,12,31,38.7,12,14,85.7,6,33,39,28,9,4,13,19
"APR 05, 2019 - BOS @ IND",W,240,117,48,92,52.2,7,27,25.9,14,16,87.5,7,42,49,27,7,6,11,15
"APR 03, 2019 - BOS @ MIA",W,240,112,38,80,47.5,9,24,37.5,27,31,87.1,6,36,42,25,8,7,11,21
"APR 01, 2019 - BOS vs. MIA",W,240,110,36,91,39.6,17,40,42.5,21,24,87.5,14,35,49,25,8,2,12,18
"MAR 30, 2019 - BOS @ BKN",L,240,96,35,83,42.2,8,20,40.0,18,23,78.3,7,32,39,19,8,7,15,25
"MAR 29, 2019 - BOS vs. IND",W,240,114,44,86,51.2,13,27,48.1,13,17,76.5,7,36,43,27,8,5,14,19
"MAR 26, 2019 - BOS @ CLE",W,240,116,46,91,50.5,10,25,40.0,14,19,73.7,11,35,46,23,8,3,10,21
"MAR 24, 2019 - BOS vs. SAS",L,240,96,38,94,40.4,7,35,20.0,13,16,81.3,11,34,45,23,4,2,8,14
"MAR 23, 2019 - BOS @ CHA",L,240,117,44,93,47.3,19,43,44.2,10,15,66.7,7,35,42,31,6,8,10,23
"MAR 20, 2019 - BOS @ PHI",L,240,115,45,96,46.9,12,32,37.5,13,16,81.3,10,36,46,22,1,3,8,25
"MAR 18, 2019 - BOS vs. DEN",L,240,105,39,93,41.9,12,39,30.8,15,19,78.9,12,25,37,24,12,5,12,16
"MAR 16, 2019 - BOS vs. ATL",W,240,129,44,93,47.3,13,36,36.1,28,37,75.7,11,35,46,30,10,7,14,21
"MAR 14, 2019 - BOS vs. SAC",W,240,126,49,97,50.5,9,28,32.1,19,26,73.1,10,42,52,32,7,2,13,20
"MAR 11, 2019 - BOS @ LAC",L,240,115,44,91,48.4,14,36,38.9,13,19,68.4,7,22,29,26,11,4,13,24
"MAR 09, 2019 - BOS @ LAL",W,240,120,48,93,51.6,14,38,36.8,10,14,71.4,6,37,43,32,6,5,13,17
"MAR 06, 2019 - BOS @ SAC",W,240,111,40,79,50.6,13,33,39.4,18,21,85.7,3,32,35,26,11,1,17,22
